experiment_name,val_loss,val_acc@1,val_f1score,test_loss,test_acc@1,test_f1score
model-resnet34_degrees-0_translate-0.0,0.048914093375206,98.75,0.9875078770378704,0.16259511879086494,96.26,0.9626233888005736
model-resnet34_degrees-10_translate-0.1,0.023918537762016055,99.36666666666666,0.9936641321147028,0.08727170907631518,98.21,0.9821017281198244
model-benchmarknet_degrees-10_translate-0.1,0.057379495754837986,98.21666666666668,0.9821670089636764,0.21356278537616602,93.73,0.937414300276216
model-benchmarknet_degrees-10_translate-0.0,0.0625297591270258,98.28333333333332,0.9828480733167884,0.21073188959099354,94.61,0.9461100799418926
model-easynet_degrees-10_translate-0.0,0.07247187063035866,98.2,0.9820014553167836,0.3157025357294362,94.49,0.9447408290538908
model-easynet_degrees-0_translate-0.1,0.10463014212747417,97.03333333333332,0.9703055252878354,0.3565013285174966,92.15,0.9213892539054176
model-resnet18_degrees-0_translate-0.0,0.0447859882414341,98.86666666666666,0.9886682260865108,0.16358548644185067,96.93,0.9692720132859992
model-easynet_degrees-10_translate-0.1,0.06397489367052912,98.18333333333334,0.9818292207701504,0.2864812842722051,94.55,0.9454173292054314
model-resnet18_degrees-10_translate-0.0,0.029177211821700137,99.38333333333334,0.9938333065785324,0.16312949720714245,97.54,0.9753891615015166
model-resnet18_degrees-10_translate-0.1,0.02238659409681956,99.3,0.9930027919292272,0.08368963145315647,98.15,0.9815116132543042
model-resnet18_degrees-0_translate-0.1,0.026347283020615574,99.28333333333332,0.992830505144234,0.08558092196211219,97.94,0.979379517833021
model-easynet_degrees-0_translate-0.0,0.10018051197876532,97.45,0.9744951005855336,0.3472272394007072,92.87,0.9285902746004159
model-resnet34_degrees-10_translate-0.0,0.033288620710372925,98.96666666666668,0.989660387819026,0.1240044662296772,96.94,0.969339970842055
model-benchmarknet_degrees-0_translate-0.0,0.08424851772018398,97.65,0.9765205159520468,0.27842474220437,93.18,0.9318633445128784
model-resnet34_degrees-0_translate-0.1,0.024663350636488758,99.46666666666668,0.994665762491326,0.09378926550084724,98.33,0.9832865746151176
model-benchmarknet_degrees-0_translate-0.1,0.06209984983007112,98.38333333333334,0.9838627118887744,0.19720020376872271,94.53,0.9453634641335086
